Names,Description,Image_URL1,Image_URL2,Image_URL3
Fall Green Manure MixCover Crop Seed,"This ready-made mix is comprised of winter rye, field peas, ryegrass, crimson clover, and hairy vetch. Vigorous late-summer growth provides winter erosion control. The peas, clover, and ryegrass will winter kill to provide organic matter and soil cover. The hairy vetch and winter rye will regrow in the spring to provide nutrients for crops to utilize. Because the seeds of this mix vary in weight and size, it is best seeded with a grain drill. Sow at 50 lb./acre or 1 1/2 lb./1,000 sq.ft. Inoculate with Garden Combination Inoculant (#7531) or Pea, Vetch, and Lentil Inoculant (#7534) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwd83d4fe0/images/products/farmseed/02613_01_fall_green_manure.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw9d6c6aa1/images/products/farmseed/02613_02_fallgreenmanure.jpg?sw=800&cx=386&cy=194&cw=1000&ch=1000,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwd83d4fe0/images/products/farmseed/02613_01_fall_green_manure.jpg?sw=140&cx=302&cy=0&cw=1196&ch=1196
Sweet AlyssumFlower Seed,"Sweet Alyssum is fast and low growing, trouble free, and low cost, making it a popular choice for use as beneficial insect habitat in vegetable and fruit production. Because of its very manageable plant habit, Sweet Alyssum is a good choice for beneficial planting in greenhouses and containers, in addition to outdoor production. Sprawling plants with dense clusters of small flowers. Commonly known as sweet alyssum, but also known simply as alyssum. Tender perennial in Zones 9-11.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwa0b684d3/images/products/flowers/01932_01_sweetalyssum.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw3d04d46a/images/products/flowers/01932_02_sweetalyssum.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwa0b684d3/images/products/flowers/01932_01_sweetalyssum.jpg?sw=140&sh=140
Hairy VetchOrganic Cover Crop Seed,"Sow spring to late summer with or without grain, grass, or field peas. When sown in late summer, spring regrowth is vigorous and nitrogen producing for tilling in before planting the spring garden crops. Typical nitrogen produced is 110 lbs./acre. This rapid spring growth also makes it a good weed suppressant. Hairy vetch prefers well-drained soils with a pH of 6.0-7.0, and will do poorly in clay or wet fields. It will do well in soils too acidic for many clovers and alfalfas. May have some allelopathic properties, so it is best to allow 2-3 weeks between incorporating and seeding of small-seeded crops. This selected hardy strain is widely adapted and withstands all but severe winters if sown in late summer or fall. Sow at 1 lb./1,000 sq.ft. (40 lb./acre) with rye or oats. Inoculate with Garden Combination Inoculant (#7531) or Pea, Vetch, and Lentil Inoculant (#7534) for best performance. Blue label/Certified seed. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwc20f60d0/images/products/farmseed/0987g_01_hairyvetch.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwc20f60d0/images/products/farmseed/0987g_01_hairyvetch.jpg?sw=140&sh=140,
PhaceliaFlower Seed,"Most commonly seeded in mass plantings, or as an annual cover crop with nectar-rich blooms to attract and support beneficial and pollinator insects. An excellent, fast-growing, easy-to-grow source of nectar for honeybee forage. Tolerant of low water conditions and poor soils. Used as a cover crop, will winterkill at 18°F (-8°C) — residue breaks down relatively quickly. Furled, lavender-colored flowers with tall, sturdy stems are sometimes used as a cut flower, adding a casual, wildflower look to bouquets. Also commonly known as bee's friend, lacy phacelia, blue tansy, purple tansy, and lacy scorpion-weed. Relative of borage and native to the United States and Mexico. For mass plantings or cover crop, sow at 3 oz./1,000 sq.ft. or 7 lb./acre.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwb4bc3535/images/products/flowers/04771_01_phacelia.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw9b38ecf5/images/products/flowers/04771_02_phacelia.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwce6cc0fc/images/products/flowers/04771_03_phacelia.jpg?sw=800&sh=800
BuckwheatCover Crop Seed,"Sow in late May through July and till in about a month later, when flowering has begun. For grain harvest, sow 3 months before fall frost. Harvest after killing frost. Also available in organic seed.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw9e890612/images/products/farmseed/00966_01_buckwheat.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwf7f4c072/images/products/farmseed/00966_02_buckwheat.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw9e890612/images/products/farmseed/00966_01_buckwheat.jpg?sw=140&sh=140
Buckwheat (Common)Organic Cover Crop Seed,"Buckwheat is widely grown as a grain crop, bee pasture, soil improving cover crop and as wildlife cover. It is a warm season grain which grows rapidly during the summer and several crops per year may be had with proper management. This rapid and dense growth chokes out weeds and is used in crop-free fields in rotation with vegetables. Buckwheat is often grown to attract beneficial insects and as pasture for honey bees. Sow in late May through July and till in about a month later, when flowering has begun. For grain harvest, sow 3 months before fall frost. Harvest after killing frost. Planting rate: 2-3 lb./1,000 sq.ft. (60 lb./acre), one-fifth less when planting for grain harvest. Blue label/Certified seed. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw515cb470/images/products/farmseed/00966g_01_buckwheat.jpg?sw=800&cx=311&cy=16&cw=1154&ch=1154,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwaeae2e6e/images/products/farmseed/00966g_02_buckwheat.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw515cb470/images/products/farmseed/00966g_01_buckwheat.jpg?sw=140&cx=311&cy=16&cw=1154&ch=1154
New Zealand White CloverCover Crop Seed,"Once established, white clover can handle foot and tractor traffic better than other clovers. The fibrous root system typically is in the top 8"" of soil, although it does have up to a 40"" tap root in the first year which dies each fall, leaving a passage for water to percolate through. More heat tolerant than some of the larger clovers, this is a low-growing (to 12"") perennial that can be sown into long-season row crops during the season to provide a ""living mulch."" Sow after first cultivation at 1/4 lb. per 1,000 sq.ft. (10 lb./acre) and rake or cultivate to cover. Also used for green manure, hay, and pasture. Inoculate with Alfalfa/True Clover Inoculant (#7535) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwb38d3179/images/products/farmseed/00979_01_newzealandwhiteclover.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw210efd2e/images/products/farmseed/00979_02_newzealandwhiteclover.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwb38d3179/images/products/farmseed/00979_01_newzealandwhiteclover.jpg?sw=140&sh=140
Crimson CloverCover Crop Seed,"Grows to 1–3' and sports striking crimson blossoms in abundance. Where winter lows fall above -10°F (-23.3°C), it is sown in late summer, lies dormant in winter, resumes growth in spring, and flowers in May. Crimson clover fixes up to 200 pounds of nitrogen per acre, and prefers well-drained, loam soils with good organic matter content for best results. It is an excellent choice for underseeding as it grows well in the shade of other crops. Easier to incorporate in the spring than Hairy Vetch. Do not use for frost seeding as it won't handle the cold nearly as well as red clover. Crimson clover will not re-grow after close grazing or mowing once flowering has begun. Crimson clover does best in cool, humid weather and will perform poorly in the heat of summer. Sow 20-25 lb./acre alone or with grain/grass. May be pre-inoculated with OMRI Listed® EXCEED and coated with OMRI Listed® Nitro-Coat® Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw39fede6e/images/products/farmseed/00982_01_crimson_clover.jpg?sw=800&cx=324&cy=22&cw=1174&ch=1174,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1a87f11f/images/products/farmseed/00982_02_crimsonclover.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw39fede6e/images/products/farmseed/00982_01_crimson_clover.jpg?sw=140&cx=324&cy=22&cw=1174&ch=1174
Yellow MustardCover Crop Seed,"Mustard residues which contain glucosinolates are known to suppress soil-borne fungi and nematodes. For use as a soil biofumigant, mow mustard crop at flowering stage, but before mature seed set, and incorporate into the soil immediately. Performs best as a fall planted crop. Thrives in cool conditions. Sow at 15-20 lb./acre.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw0b918af1/images/products/farmseed/03522_01_mustard.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw0b918af1/images/products/farmseed/03522_01_mustard.jpg?sw=140&sh=140,
Crimson CloverOrganic Cover Crop Seed,"Grows to 1-3' and sports striking crimson blossoms in abundance. Where winter lows fall above -10°F (-23.3°C), it is sown in late summer, lies dormant in winter, resumes growth in spring, and flowers in May. Crimson clover fixes up to 200 pounds of nitrogen per acre, and prefers well-drained, loam soils with good organic matter content for best results. It is an excellent choice for underseeding as it grows well in the shade of other crops. Easier to incorporate in the spring than Hairy Vetch. Do not use for frost seeding as it won't handle the cold nearly as well as red clover. Crimson clover will not re-grow after close grazing or mowing once flowering has begun. Crimson clover does best in cool, humid weather and will perform poorly in the heat of summer. Sow 20-25 lb./acre alone or with grain/grass. Inoculate with Inoculate with Alfalfa/True Clover Inoculant (#7535) for best performance. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw2a65554b/images/products/farmseed/00982g_01_crimson_clover.jpg?sw=800&cx=347&cy=45&cw=1150&ch=1150,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw509787f8/images/products/farmseed/00982g_02_crimsonclover.opy.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw2a65554b/images/products/farmseed/00982g_01_crimson_clover.jpg?sw=140&cx=347&cy=45&cw=1150&ch=1150
